Beach Name,County,Lat,Long
Pelican State Beach,Del Norte,,
Crescent Beach,Del Norte,,
Redwood National Park,Del Norte,,
Prairie Creek Redwoods State Beach,Del Norte,,
Humboldt Lagoons State Park,Humboldt,,
Sue-meg State Park,Humboldt,,
Trinidad State Beach,Humboldt,,
Little River State Beach,Humboldt,,
Clam Beach County Park,Humboldt,,
Sinkyone Wilderness State Park,Humboldt,,
Westport-Union Landing State Beach,Mendocino,,
MacKerricher State Park,Mendocino,,
Caspar Headlands State Beach,Mendocino,,
Russian Gulch State Park,Mendocino,,
Manchester State Park,Mendocino,,
Schooner Gulch State Beach,Mendocino,,
"Glass Beach (Fort Bragg, California)",Mendocino,,
Gualala Point Regional Park,Sonoma,,
Kruse Rhododendron State Reserve,Sonoma,,
Salt Point State Park,Sonoma,,
Stillwater Cove Regional Park,Sonoma,,
Clam Beach,Sonoma,,
Fort Ross State Historic Park,Sonoma,,
Goat Rock Beach,Sonoma,,
Blind Beach,Sonoma,,
Shell Beach,Sonoma,,
Wrights Beach,Sonoma,,
Gleason Beach,Sonoma,,
Schoolhouse Beach,Sonoma,,
Carmet Beach,Sonoma,,
Arched Rock Beach,Sonoma,,
Coleman Beach,Sonoma,,
Miwok Beach,Sonoma,,
North Salmon Creek Beach,Sonoma,,
South Salmon Creek Beach,Sonoma,,
Sonoma Coast State Beach,Sonoma,,
Doran Beach,Sonoma,,
Doran Regional Park,Sonoma,,
Tomales Bay State Park,Marin,,
Point Reyes National Seashore,Marin,,
Mount Tamalpais State Park,Marin,,
Stinson Beach Park,Marin,,
Golden Gate National Recreation Area,Marin,,
Dillon beach,Marin,,
Muir Beach,Marin,,
Miller/Knox Beach,Contra Costa,,
Albany Beach,Alameda,,
Radio Beach,Alameda,,
Crown Memorial State Beach,Alameda,,
Aquatic Park,San Francisco,,
Golden Gate National Recreation Area – includes,San Francisco,,
East Beach,San Francisco,,
Marshall's Beach,San Francisco,,
Baker Beach,San Francisco,,
China Beach,San Francisco,,
Lands End Beach,San Francisco,,
Ocean Beach,San Francisco,,
Golden Gate National Recreation Area,San Francisco,,
Fort Funston Beach,San Francisco,,
Thornton Beach State Park,San Mateo,,
Palisades Park,San Mateo,,
Northridge Park,San Mateo,,
Mussel Rock Park,San Mateo,,
Long View Park,San Mateo,,
Beach State Park,San Mateo,,
Rockaway Beach,San Mateo,,
Tunitas Creek Beach,San Mateo,,
Gray Whale Cove State Beach,San Mateo,,
Montara State Beach,San Mateo,,
El Granada Beach,San Mateo,,
Vallejo Beach,San Mateo,,
Miramar Beach,San Mateo,,
"Half Moon Bay State Beach, which includes:",San Mateo,,
Roosevelt Beach (also known as Naples Beach),San Mateo,,
