beach_id,Beach_Name,Latitude,Longitude,Sunrise,Sunset,Weather_Description,Temperature,Water_Temperature,Cloud_Cover,Wind_Speed,Wave_Height
0,Imperial Beach,32.57583119,-117.1265769,06:32 AM,04:42 PM,Partly cloudy,56,56,51,6,3.3
1,Pelican State Beach,41.992395,-124.209664,07:26 AM,04:46 PM,Patchy rain possible,45,51,73,12,11.5
2,Crescent Beach,41.72836258,-124.1531784,07:25 AM,04:47 PM,Patchy rain possible,43,50,78,4,8.9
3,Sue-meg State Park,41.13665293,-124.155297,07:23 AM,04:49 PM,Light rain shower,45,51,53,5,9.5
4,Trinidad State Beach,41.06582175,-124.1497893,07:23 AM,04:49 PM,Light rain shower,45,51,53,5,9.5
5,Little River State Beach,41.01688007,-124.1117529,07:23 AM,04:49 PM,Light rain shower,45,51,53,5,9.5
6,Clam Beach County Park,40.99847401,-124.1151808,07:23 AM,04:49 PM,Light rain shower,45,51,53,5,9.5
7,Clam Beach,40.99536694,-124.1109588,07:23 AM,04:49 PM,Light rain shower,45,51,53,5,9.5
8,Sinkyone Wilderness State Park,39.92043479,-123.9397125,07:19 AM,04:51 PM,Patchy rain possible,46,52,78,5,8.5
9,Westport-Union Landing State Beach,39.67716307,-123.7912683,07:17 AM,04:51 PM,Light rain shower,44,51,58,8,6.2
10,MacKerricher Beach,39.489781,-123.798271,07:17 AM,04:52 PM,Light drizzle,46,51,80,8,6.2
11,Glass Beach,39.45277476,-123.8133215,07:17 AM,04:52 PM,Light drizzle,46,51,80,8,6.2
12,Caspar Beach,39.3627382,-123.8172252,07:17 AM,04:52 PM,Cloudy,46,51,80,8,6.2
13,Mendocino Headlands State Park,39.309033,-123.806658,07:16 AM,04:52 PM,Light rain shower,46,51,80,8,6.2
14,Manchester State Park,38.98385949,-123.6993187,07:15 AM,04:53 PM,Patchy light rain,47,51,56,8,6.6
15,Schooner Gulch State Beach,38.86821949,-123.6547063,07:15 AM,04:53 PM,Patchy light rain,47,51,56,8,6.6
16,Gualala Point Regional Park,38.76076189,-123.526723,07:15 AM,04:53 PM,Patchy light rain,47,51,56,8,6.6
17,Black Point Beach,38.686409,-123.432347,07:12 AM,04:53 PM,Patchy light rain,46,52,53,5,5.9
18,Goat Rock Beach,38.44711794,-123.1265214,07:11 AM,04:52 PM,Moderate rain,47,51,100,9,4.3
19,Blind Beach,38.43699972,-123.1223772,07:11 AM,04:52 PM,Moderate rain,47,51,100,9,4.3
20,Shell Beach,38.417464,-123.105601,07:11 AM,04:52 PM,Moderate rain,47,51,100,9,4.3
21,Wrights Beach,38.40033248,-123.0969266,07:11 AM,04:52 PM,Moderate rain,47,51,100,9,4.3
22,Gleason Beach,38.39010789,-123.0857298,07:11 AM,04:52 PM,Moderate rain,47,51,100,9,4.3
23,Schoolhouse Beach,38.37626954,-123.0786946,07:11 AM,04:52 PM,Moderate rain,47,51,100,9,4.3
