beach_id,beach_name,latitude,longitude,sunrise,sunset,weather_description,temperature,water_temperature,cloud_cover,wind_speed,wave_height
1,Pelican State Beach,41.992395,-124.209664,7:09:00,16:55:00,Clear,49,48,0,6,4.9
1,Pelican State Beach,41.992395,-124.209664,7:06:00,16:57:00,Clear,46,51,0,10,9.2
1,Pelican State Beach,41.992395,-124.209664,7:52:00,18:09:00,Light rain shower,48,52,100,4,10.5
1,Pelican State Beach,41.992395,-124.209664,7:04:00,16:58:00,Light rain shower,48,51,98,9,6.6
1,Pelican State Beach,41.992395,-124.209664,7:05:00,16:58:00,Partly cloudy,45,48,3,5,6.6
2,Crescent Beach,41.72836258,-124.1531784,7:51:00,18:10:00,Light rain shower,46,51,100,6,7.9
2,Crescent Beach,41.72836258,-124.1531784,7:03:00,16:59:00,Patchy rain possible,46,51,98,10,5.6
2,Crescent Beach,41.72836258,-124.1531784,7:08:00,16:55:00,Clear,47,51,0,4,3.9
2,Crescent Beach,41.72836258,-124.1531784,7:04:00,16:58:00,Clear,42,51,0,5,5.6
2,Crescent Beach,41.72836258,-124.1531784,7:05:00,16:57:00,Clear,44,51,0,9,7.2
3,Sue-meg State Park,41.13665293,-124.155297,7:49:00,18:11:00,Patchy rain possible,47,52,86,7,9.5
3,Sue-meg State Park,41.13665293,-124.155297,7:01:00,17:00:00,Cloudy,46,51,73,4,5.6
3,Sue-meg State Park,41.13665293,-124.155297,7:06:00,16:57:00,Clear,48,47,0,6,4.6
3,Sue-meg State Park,41.13665293,-124.155297,7:02:00,16:59:00,Clear,43,51,0,7,6.9
3,Sue-meg State Park,41.13665293,-124.155297,7:03:00,16:58:00,Clear,46,51,0,8,8.5
4,Trinidad State Beach,41.06582175,-124.1497893,7:49:00,18:11:00,Patchy rain possible,47,52,86,7,9.5
4,Trinidad State Beach,41.06582175,-124.1497893,7:01:00,17:00:00,Cloudy,46,51,73,4,5.6
4,Trinidad State Beach,41.06582175,-124.1497893,7:06:00,16:57:00,Clear,48,47,0,6,4.6
4,Trinidad State Beach,41.06582175,-124.1497893,7:02:00,16:59:00,Clear,43,51,0,7,6.9
4,Trinidad State Beach,41.06582175,-124.1497893,7:03:00,16:58:00,Clear,46,51,0,8,8.5
5,Little River State Beach,41.01688007,-124.1117529,7:49:00,18:11:00,Patchy rain possible,47,52,86,7,9.5
5,Little River State Beach,41.01688007,-124.1117529,7:01:00,17:00:00,Cloudy,46,51,73,4,5.6
5,Little River State Beach,41.01688007,-124.1117529,7:06:00,16:57:00,Clear,48,47,0,6,4.6
5,Little River State Beach,41.01688007,-124.1117529,7:02:00,16:59:00,Clear,43,51,0,7,6.9
5,Little River State Beach,41.01688007,-124.1117529,7:03:00,16:58:00,Clear,46,51,0,8,8.5
6,Clam Beach County Park,40.99847401,-124.1151808,7:49:00,18:11:00,Patchy rain possible,47,52,86,7,9.5
6,Clam Beach County Park,40.99847401,-124.1151808,7:01:00,17:00:00,Cloudy,46,51,73,4,5.6
6,Clam Beach County Park,40.99847401,-124.1151808,7:06:00,16:57:00,Clear,48,47,0,6,4.6
6,Clam Beach County Park,40.99847401,-124.1151808,7:02:00,16:59:00,Clear,43,51,0,7,6.9
6,Clam Beach County Park,40.99847401,-124.1151808,7:03:00,16:58:00,Clear,46,51,0,8,8.5
7,Clam Beach,40.99536694,-124.1109588,7:49:00,18:11:00,Patchy rain possible,47,52,86,7,9.5
7,Clam Beach,40.99536694,-124.1109588,7:01:00,17:00:00,Cloudy,46,51,73,4,5.6
7,Clam Beach,40.99536694,-124.1109588,7:06:00,16:57:00,Clear,48,47,0,6,4.6
7,Clam Beach,40.99536694,-124.1109588,7:02:00,16:59:00,Clear,43,51,0,7,6.9
7,Clam Beach,40.99536694,-124.1109588,7:03:00,16:58:00,Clear,46,51,0,8,8.5
8,Sinkyone Wilderness State Park,39.92043479,-123.9397125,7:47:00,18:12:00,Patchy rain possible,49,53,84,8,8.2
8,Sinkyone Wilderness State Park,39.92043479,-123.9397125,6:58:00,17:02:00,Partly cloudy,48,53,25,2,4.3
8,Sinkyone Wilderness State Park,39.92043479,-123.9397125,7:03:00,16:59:00,Clear,52,50,0,5,4.6
8,Sinkyone Wilderness State Park,39.92043479,-123.9397125,6:59:00,17:01:00,Clear,47,54,0,7,6.2
8,Sinkyone Wilderness State Park,39.92043479,-123.9397125,7:01:00,17:01:00,Partly cloudy,49,54,4,7,7.2
9,Westport-Union Landing State Beach,39.67716307,-123.7912683,7:45:00,18:12:00,Partly cloudy,46,52,40,5,6.9
9,Westport-Union Landing State Beach,39.67716307,-123.7912683,6:56:00,17:02:00,Partly cloudy,45,52,8,2,3
9,Westport-Union Landing State Beach,39.67716307,-123.7912683,7:01:00,16:59:00,Clear,49,53,0,4,3.6
9,Westport-Union Landing State Beach,39.67716307,-123.7912683,6:57:00,17:01:00,Clear,43,53,0,5,5.2
9,Westport-Union Landing State Beach,39.67716307,-123.7912683,6:59:00,17:00:00,Clear,46,53,0,6,5.6
10,MacKerricher Beach,39.489781,-123.798271,7:45:00,18:12:00,Partly cloudy,47,52,26,6,7.9
10,MacKerricher Beach,39.489781,-123.798271,6:56:00,17:03:00,Partly cloudy,46,52,7,3,3
10,MacKerricher Beach,39.489781,-123.798271,7:01:00,16:59:00,Clear,49,53,0,4,4.3
10,MacKerricher Beach,39.489781,-123.798271,6:57:00,17:02:00,Clear,44,53,0,6,6.2
10,MacKerricher Beach,39.489781,-123.798271,6:58:00,17:01:00,Clear,46,53,0,4,6.6
11,Glass Beach,39.45277476,-123.8133215,7:45:00,18:12:00,Partly cloudy,47,52,26,6,7.9
11,Glass Beach,39.45277476,-123.8133215,6:56:00,17:03:00,Partly cloudy,46,52,7,3,3
11,Glass Beach,39.45277476,-123.8133215,7:01:00,16:59:00,Clear,49,53,0,4,4.3
11,Glass Beach,39.45277476,-123.8133215,6:57:00,17:02:00,Clear,44,53,0,6,6.2
11,Glass Beach,39.45277476,-123.8133215,6:58:00,17:01:00,Clear,46,53,0,4,6.6
12,Caspar Beach,39.3627382,-123.8172252,7:45:00,18:12:00,Partly cloudy,47,52,26,6,7.9
12,Caspar Beach,39.3627382,-123.8172252,6:56:00,17:03:00,Partly cloudy,46,52,7,3,3
12,Caspar Beach,39.3627382,-123.8172252,7:00:00,17:00:00,Clear,49,53,0,4,4.3
12,Caspar Beach,39.3627382,-123.8172252,6:57:00,17:02:00,Clear,44,53,0,6,6.2
12,Caspar Beach,39.3627382,-123.8172252,6:58:00,17:01:00,Clear,46,53,0,4,6.6
13,Mendocino Headlands State Park,39.30903300,-123.806658,7:45:00,18:12:00,Partly cloudy,47,52,26,6,7.9
13,Mendocino Headlands State Park,39.30903300,-123.806658,6:56:00,17:03:00,Partly cloudy,46,52,7,3,3
13,Mendocino Headlands State Park,39.30903300,-123.806658,7:00:00,17:00:00,Clear,49,53,0,4,4.3
13,Mendocino Headlands State Park,39.30903300,-123.806658,6:57:00,17:02:00,Clear,44,53,0,6,6.2
13,Mendocino Headlands State Park,39.30903300,-123.806658,6:58:00,17:01:00,Clear,46,53,0,4,6.6
14,Manchester State Park,38.98385949,-123.6993187,7:44:00,18:13:00,Partly cloudy,48,49,33,4,8.2
14,Manchester State Park,38.98385949,-123.6993187,6:55:00,17:03:00,Partly cloudy,48,53,9,4,2.6
14,Manchester State Park,38.98385949,-123.6993187,6:59:00,17:00:00,Clear,51,49,0,5,4.3
14,Manchester State Park,38.98385949,-123.6993187,6:56:00,17:02:00,Clear,47,53,0,6,6.2
14,Manchester State Park,38.98385949,-123.6993187,6:57:00,17:02:00,Partly cloudy,48,53,2,8,6.6
15,Schooner Gulch State Beach,38.86821949,-123.6547063,7:44:00,18:13:00,Patchy rain possible,48,49,80,4,8.2
15,Schooner Gulch State Beach,38.86821949,-123.6547063,6:54:00,17:03:00,Partly cloudy,48,53,9,4,2.6
15,Schooner Gulch State Beach,38.86821949,-123.6547063,6:59:00,17:00:00,Clear,51,49,0,5,4.3
15,Schooner Gulch State Beach,38.86821949,-123.6547063,6:56:00,17:02:00,Clear,47,53,0,6,6.2
15,Schooner Gulch State Beach,38.86821949,-123.6547063,6:57:00,17:02:00,Partly cloudy,48,53,2,8,6.6
16,Gualala Point Regional Park,38.76076189,-123.526723,7:44:00,18:13:00,Patchy rain possible,48,49,80,4,8.2
16,Gualala Point Regional Park,38.76076189,-123.526723,6:54:00,17:03:00,Partly cloudy,48,53,9,4,2.6
16,Gualala Point Regional Park,38.76076189,-123.526723,6:59:00,17:00:00,Clear,51,49,0,5,4.3
16,Gualala Point Regional Park,38.76076189,-123.526723,6:56:00,17:02:00,Clear,47,53,0,6,6.2
16,Gualala Point Regional Park,38.76076189,-123.526723,6:57:00,17:02:00,Partly cloudy,48,53,2,8,6.6
17,Black Point Beach,38.686409,-123.432347,7:42:00,18:12:00,Partly cloudy,48,51,16,0,7.5
17,Black Point Beach,38.686409,-123.432347,6:52:00,17:03:00,Clear,47,52,0,2,2
17,Black Point Beach,38.686409,-123.432347,6:57:00,16:59:00,Clear,51,49,0,4,4.3
17,Black Point Beach,38.686409,-123.432347,6:53:00,17:02:00,Clear,46,53,0,4,5.2
