Beach Name,County,Lat,Long
Pelican State Beach,Del Norte,41.992395,-124.209664
Crescent Beach,Del Norte,41.72836258,-124.1531784
Redwood National Park,Del Norte,41.20897003,-124.1190559
Prairie Creek Redwoods State Beach,Del Norte,41.40174089,-124.0416494
Humboldt Lagoons State Park,Humboldt,41.22522304,-124.0980863
Sue-meg State Park,Humboldt,41.13665293,-124.155297
Trinidad State Beach,Humboldt,41.06582175,-124.1497893
Little River State Beach,Humboldt,41.01688007,-124.1117529
Clam Beach County Park,Humboldt,40.99847401,-124.1151808
Sinkyone Wilderness State Park,Humboldt,39.92043479,-123.9397125
Westport-Union Landing State Beach,Mendocino,39.67716307,-123.7912683
MacKerricher State Park,Mendocino,39.4886489,-123.7881132
Caspar Headlands State Beach,Mendocino,39.3627382,-123.8172252
Russian Gulch State Park,Mendocino,39.33310956,-123.8058978
Manchester State Park,Mendocino,38.98385949,-123.6993187
Schooner Gulch State Beach,Mendocino,38.86821949,-123.6547063
Glass Beach,Mendocino,39.45277476,-123.8133215
Gualala Point Regional Park,Sonoma,38.76076189,-123.526723
Kruse Rhododendron State Reserve,Sonoma,38.59299403,-123.3311264
Salt Point State Park,Sonoma,38.57666921,-123.3317278
Stillwater Cove Regional Park,Sonoma,38.54852987,-123.2943892
Clam Beach,Sonoma,40.99536694,-124.1109588
Fort Ross State Historic Park,Sonoma,38.51617729,-123.2460254
Goat Rock Beach,Sonoma,38.44711794,-123.1265214
Blind Beach,Sonoma,38.43699972,-123.1223772
Shell Beach,Sonoma,38.50306292,-123.1417195
Wrights Beach,Sonoma,38.40033248,-123.0969266
Gleason Beach,Sonoma,38.39010789,-123.0857298
Schoolhouse Beach,Sonoma,38.37626954,-123.0786946
Carmet Beach,Sonoma,38.37254912,-123.0762862
Arched Rock Beach,Sonoma,38.36725878,-123.0726081
Coleman Beach,Sonoma,38.36596694,-123.0714996
Miwok Beach,Sonoma,38.36111029,-123.0691915
North Salmon Creek Beach,Sonoma,38.35991175,-123.0687585
South Salmon Creek Beach,Sonoma,38.33989879,-123.0684011
Sonoma Coast State Beach,Sonoma,38.42730398,-123.0997142
Doran Beach,Sonoma,38.31450636,-123.0443867
Doran Regional Park,Sonoma,38.31405857,-123.0487846
Tomales Bay State Park,Marin,38.12344382,-122.9013544
Point Reyes National Seashore,Marin,38.05334833,-122.8686076
Mount Tamalpais State Park,Marin,37.88916572,-122.6108739
Stinson Beach Park,Marin,37.89914093,-122.6457161
Golden Gate National Recreation Area,Marin,37.83175951,-122.5385814
Dillon beach,Marin,38.25058272,-122.9669146
Muir Beach,Marin,37.86144576,-122.5794152
Miller/Knox Beach,Contra Costa,37.91654106,-122.3849756
Albany Beach,Alameda,37.889028,-122.317164
Radio Beach,Alameda,37.82500399,-122.3177221
Crown Memorial State Beach,Alameda,37.76638543,-122.2719476
Aquatic Park,San Francisco,37.85749931,-122.3006492
East Beach,San Francisco,37.90697664,-122.4472461
Marshall's Beach,San Francisco,37.80212595,-122.4800495
Baker Beach,San Francisco,37.79389403,-122.4837904
China Beach,San Francisco,37.82800894,-122.5124907
Lands End Beach,San Francisco,37.78765857,-122.5061247
Ocean Beach,San Francisco,37.88181079,-122.534132
Fort Funston Beach,San Francisco,37.71968785,-122.5028803
Thornton Beach State Park,San Mateo,37.69895078,-122.4966631
Palisades Park,San Mateo,34.02321351,-118.5095999
Northridge Park,San Mateo,34.04688979,-118.6136107
Mussel Rock Park,San Mateo,37.66864578,-122.4949438
Long View Park,San Mateo,33.4809628,-117.7246712
Beach State Park,San Mateo,33.45460429,-117.6692246
Rockaway Beach,San Mateo,40.58727455,-73.82006442
Tunitas Creek Beach,San Mateo,37.35550969,-122.3999619
Gray Whale Cove State Beach,San Mateo,37.56465031,-122.514044
Montara State Beach,San Mateo,37.54661402,-122.5149052
El Granada Beach,San Mateo,37.5005241,-122.4706817
Vallejo Beach,San Mateo,37.49660111,-122.4650877
Miramar Beach,San Mateo,30.37588036,-86.36451333
Half Moon Bay State Beach,San Mateo,37.47766417,-122.4500385
Roosevelt Beach,San Mateo,37.48808914,-122.4566241
Dunes Beach,San Mateo,37.48509246,-122.4539204
Venice Beach,San Mateo,37.47654446,-122.4489851
Francis Beach,San Mateo,37.46564519,-122.4467106
Poplar Beach,San Mateo,37.45607296,-122.4447794
Redondo State Beach,San Mateo,37.44070715,-122.4437066
Pelican Point Beach,San Mateo,37.42830898,-122.4397991
Cowell Ranch Beach,San Mateo,37.42101853,-122.4351767
Martins Beach,San Mateo,37.37371681,-122.4085306
San Gregorio Private Beach,San Mateo,37.3365993,-122.4013304
San Gregorio State Beach,San Mateo,37.32390506,-122.402532
Pomponio State Beach,San Mateo,37.29312103,-122.4069395
Pescadero State Beach,San Mateo,37.26296837,-122.4136772
Pebble Beach,San Mateo,36.57242701,-121.9477807
Bean Hollow State Beach,San Mateo,37.22636846,-122.409955
Pigeon Point Beach,San Mateo,37.18281646,-122.3849497
Año Nuevo State Park,San Mateo,37.11362641,-122.3299457
Gazos Creek State Beach,San Mateo,37.1683354,-122.3626122
Scaroni Road beach,San Mateo,36.97819903,-122.1371627
Natural Bridges State Beach,Santa Cruz,36.95043481,-122.0573468
Lighthouse Field State Beach,Santa Cruz,36.95189034,-122.0285827
Santa Cruz Beach,Santa Cruz,36.96440579,-122.0177257
Twin Lakes State Beach,Santa Cruz,36.96234726,-121.9978356
Capitola State Beach,Santa Cruz,36.97124,-121.951902
Seacliff State Beach,Santa Cruz,36.97197984,-121.91399
Manresa State Beach,Santa Cruz,36.93232569,-121.862878
New Brighton State Beach,Santa Cruz,36.97873139,-121.9383879
Sunset State Beach,Santa Cruz,36.88700143,-121.8326324
Asilomar State Beach,Monterey,36.61826712,-121.9419008
Carmel River State Beach,Monterey,36.53817954,-121.9290057
John Little State Reserve,Monterey,36.11949528,-121.6316069
Julia Pfeiffer Burns State Park,Monterey,36.16594936,-121.6801454
Marina State Beach,Monterey,36.69649793,-121.8094498
Monterey State Beach,Monterey,36.61250151,-121.8580798
Moss Landing State Beach,Monterey,36.81540267,-121.7915881
Point Lobos State Reserve,Monterey,36.5165681,-121.9388299
Point Sur Lightstation State Historic Park,Monterey,36.309028,-121.8954479
Salinas River State Beach,Monterey,36.7754768,-121.7952683
Sand Dollar Beach,Monterey,35.92314004,-121.4685117
Zmudowski State Beach,Monterey,36.84292083,-121.805257
William Randolph Hearst Memorial State Beach,San Luis Obisqo,35.64417168,-121.1880653
Estero Bluffs State Park,San Luis Obisqo,35.44920684,-120.9181629
Cayucos State Beach,San Luis Obisqo,35.44857182,-120.9059346
Morro Strand State Beach,San Luis Obisqo,35.39210458,-120.8668416
Morro Rock Beach,San Luis Obisqo,35.37284552,-120.865919
Morro Bay State Park,San Luis Obisqo,35.34330579,-120.8430451
Montaña de Oro State Park,San Luis Obisqo,35.26925951,-120.8941898
Ávila Beach,San Luis Obisqo,35.18010746,-120.7316191
Pismo State Beach,San Luis Obisqo,35.14570355,-120.6417563
Rancho Guadalupe Dunes County Park,Santa Barbara,34.96514896,-120.6515443
Point Sal State Beach,Santa Barbara,34.90204849,-120.6548958
Surf Beach,Santa Barbara,34.68424954,-120.6064212
Jalama Beach County Park,Santa Barbara,34.51081204,-120.5018918
Jack and Laura Dangermond Preserve,Santa Barbara,34.54432267,-120.4129323
Hollister Ranch,Santa Barbara,34.4704015,-120.2347654
Gaviota State Park,Santa Barbara,34.47353149,-120.2296213
Refugio State Beach,Santa Barbara,34.46328972,-120.0701569
El Capitán State Beach,Santa Barbara,34.46061439,-120.0248308
Santa Barbara Shores County Park,Santa Barbara,34.42241824,-119.8961652
Goleta Beach Park,Santa Barbara,34.41681648,-119.8324352
Arroyo Burro Beach,Santa Barbara,34.4026134,-119.7430753
Leadbetter Beach,Santa Barbara,34.40248784,-119.699369
West Beach,Santa Barbara,34.40535704,-119.6973811
East Beach,Santa Barbara,34.41634896,-119.6804242
Butterfly Beach,Santa Barbara,34.4177324,-119.6494454
Lookout County Park,Santa Barbara,34.42038268,-119.6024139
Carpinteria State Beach,Santa Barbara,34.39281987,-119.5240894
Rincon Beach Park,Santa Barbara,34.3801909,-119.4831245
Emma Wood State Beach,Ventura,34.29332738,-119.3400669
San Buenaventura State Beach,Ventura,34.26991871,-119.2768745
McGrath State Beach,Ventura,34.2210903,-119.259957
Mandalay State Beach,Ventura,34.18131648,-119.2390512
Oxnard Beach Park,Ventura,34.17672826,-119.2371455
Channel Islands Beach,Ventura,34.15849146,-119.2247756
Silver Strand Beach,Ventura,34.1582759,-119.2259773
Port Hueneme Beach Park,Ventura,34.14254714,-119.1960592
Point Mugu State Park,Ventura,34.09480328,-119.0635493
County Line Beach,Ventura,34.051417,-118.9601453
Leo Carrillo State Park,Los Angeles,34.04417165,-118.9353832
Robert Meyer Memorial State Beach,Los Angeles,34.03869785,-118.8758222
El Pescador State Beach,Los Angeles,34.04055637,-118.8920206
La Piedra State Beach,Los Angeles,34.03985483,-118.8874178
El Matador State Beach,Los Angeles,34.03820261,-118.8747166
Lechuza Beach,Los Angeles,,
Broad Beach[1],Los Angeles,,
Zuma Beach County Park,Los Angeles,,
Point Dume State Beach,Los Angeles,,
Malibu Lagoon State Beach,Los Angeles,,
Topanga State Beach,Los Angeles,,
Will Rogers State Beach,Los Angeles,,
Santa Monica State Beach,Los Angeles,,
Venice City Beach,Los Angeles,,
Playa Del Rey,Los Angeles,,
Dockweiler State Beach,Los Angeles,,
El Segundo Beach,Los Angeles,,
El Porto Beach,Los Angeles,,
Manhattan Beach County Park,Los Angeles,,
Hermosa City Beach,Los Angeles,,
Redondo Beach State Park,Los Angeles,,
RAT Beach,Los Angeles,,
Torrance County Beach,Los Angeles,,
Royal Palms State Beach,Los Angeles,,
Cabrillo Beach Park,Los Angeles,,
Los Alamitos Bay (Long Beach),Los Angeles,,
Mother's Beach (Long Beach),Los Angeles,,
Seal Beach,Orange,,
Surfside Beach,Orange,,
Sunset Beach,Orange,,
Bolsa Chica State Beach,Orange,,
Huntington City Beach,Orange,,
Huntington State Beach,Orange,,
Santa Ana River County Beach,Orange,,
Newport Municipal Beach,Orange,,
Balboa Beach,Orange,,
West Jetty View Park,Orange,,
Bayside Drive County Beach,Orange,,
China Cove Beach,Orange,,
Rocky Point,Orange,,
Corona del Mar State Beach,Orange,,
Little Corona del Mar Beach,Orange,,
Crystal Cove State Park,Orange,,
Crescent Bay Point Park,Orange,,
Shaw's Cove,Orange,,
Diver's Cove,Orange,,
Rockpile Beach,Orange,,
Picnic Beach,Orange,,
Main Beach,Orange,,
Brooks Beach,Orange,,
Victoria Beach,Orange,,
Laguna Beach,Orange,,
Aliso Creek County Beach,Orange,,
West Street Beach,Orange,,
"1,000 Steps Beach",Orange,,
Salt Creek County Beach,Orange,,
Doheny State Beach,Orange,,
Capistrano Beach,Orange,,
Poche Beach,Orange,,
Komo Beach,Orange,,
San Clemente City Beach,Orange,,
San Clemente State Beach,Orange,,
San Onofre State Beach,San Diego,,
"Del Mar Beach, Camp Pendleton",San Diego,,
"Harbor Beach, California",San Diego,,
Oceanside City Beach,San Diego,,
Oceanside Boulevard Beach,San Diego,,
"Buccaneer Beach, Oceanside",San Diego,,
South Oceanside Beach (Cassidy Street),San Diego,,
Saint Malo Beach,San Diego,,
Carlsbad City Beach,San Diego,,
Terra Mar Point,San Diego,,
Carlsbad State Beach,San Diego,,
South Carlsbad State Beach,San Diego,,
Ponto Beach,San Diego,,
Grandview,San Diego,,
Beacon's Beach,San Diego,,
Stone Steps Beach,San Diego,,
Moonlight Beach,San Diego,,
D Street Viewpoint,San Diego,,
Boneyard Beach,San Diego,,
Swamis,San Diego,,
Pipes,San Diego,,
San Elijo State Beach,San Diego,,
Cardiff State Beach,San Diego,,
Tide Beach Park,San Diego,,
Fletcher Cove Park,San Diego,,
Seascape Surf,San Diego,,
Del Mar City Beach,San Diego,,
Torrey Pines State Beach,San Diego,,
Black's Beach,San Diego,,
La Jolla Shores,San Diego,,
La Jolla Cove,San Diego,,
Shell Beach,San Diego,,
Children's Pool Beach,San Diego,,
Marine Street Beach,San Diego,,
Windansea Beach,San Diego,,
La Jolla Strand Park,San Diego,,
Tourmaline Surfing Park,San Diego,,
Pacific Beach,San Diego,,
Mission Beach,San Diego,,
Ocean Beach Park,San Diego,,
Ocean Beach City Beach,San Diego,,
Coronado Municipal Beach,San Diego,,
Silver Strand State Beach,San Diego,,
Imperial Beach,San Diego,,
Border Field State Park,San Diego,,
