,#YY,MM,DD,hh,mm,WDI,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
10,2021,1,1,1,40,999,9.0,11.6,2.98,9.09,6.8,285,1013.9,14.5,999.0,10.4,99,99
16,2021,1,1,2,40,999,9.3,11.8,2.94,17.39,6.92,293,1014.1,14.6,999.0,10.7,99,99
28,2021,1,1,4,40,999,8.2,10.5,2.79,9.09,6.97,285,1014.2,14.8,999.0,9.8,99,99
34,2021,1,1,5,40,999,7.5,9.8,2.65,16.0,7.09,286,1014.6,14.9,999.0,9.6,99,99
40,2021,1,1,6,40,999,8.0,10.2,2.5,16.0,7.21,288,1014.8,15.2,999.0,9.2,99,99
46,2021,1,1,7,40,999,6.4,7.7,2.72,16.0,7.28,291,1014.8,15.3,999.0,8.8,99,99
52,2021,1,1,8,40,999,6.6,8.5,2.54,8.33,7.4,286,1014.8,15.1,999.0,9.4,99,99
58,2021,1,1,9,40,999,5.9,7.4,2.53,16.0,7.64,276,1014.7,15.1,999.0,9.9,99,99
64,2021,1,1,10,40,999,4.5,6.0,2.39,17.39,7.67,294,1015.0,14.5,999.0,11.6,99,99
70,2021,1,1,11,40,999,4.5,6.0,2.33,16.0,7.54,270,1015.3,14.9,999.0,10.5,99,99
76,2021,1,1,12,40,999,3.5,5.0,2.39,16.0,8.08,277,1015.6,14.7,999.0,10.8,99,99
82,2021,1,1,13,40,999,2.7,4.1,2.26,16.0,8.25,273,1016.2,14.8,999.0,10.5,99,99
88,2021,1,1,14,40,999,2.4,3.2,2.29,16.0,8.29,285,1016.9,14.9,999.0,11.0,99,99
94,2021,1,1,15,40,999,1.5,2.4,2.28,16.0,8.98,274,1017.8,14.7,999.0,11.4,99,99
100,2021,1,1,16,40,999,2.7,4.4,2.31,16.0,8.76,285,1018.8,14.9,999.0,11.8,99,99
106,2021,1,1,17,40,999,1.1,2.2,2.52,14.81,9.64,280,1020.0,15.1,999.0,10.9,99,99
112,2021,1,1,18,40,999,0.0,0.5,2.04,14.81,8.53,281,1019.7,15.1,999.0,10.9,99,99
118,2021,1,1,19,40,999,1.6,2.8,2.45,14.81,9.52,284,1019.3,15.3,999.0,9.7,99,99
124,2021,1,1,20,40,999,1.6,3.2,2.28,14.81,9.43,290,1018.7,15.1,999.0,9.3,99,99
130,2021,1,1,21,40,999,0.5,1.8,2.47,16.0,9.81,286,1018.7,15.3,999.0,9.4,99,99
136,2021,1,1,22,40,999,1.5,3.2,2.33,16.0,9.11,283,1019.2,15.3,999.0,9.8,99,99
142,2021,1,1,23,40,999,2.3,3.8,2.33,14.81,9.35,293,1019.9,15.3,999.0,10.7,99,99
148,2021,1,2,0,40,999,1.9,3.0,2.33,16.0,9.29,296,1020.2,15.2,999.0,11.7,99,99
154,2021,1,2,1,40,999,1.0,2.2,2.3,14.81,9.78,283,1020.7,14.7,999.0,12.3,99,99
